Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
ChampionsLeague,PagineDelloSport,23.9,8.31,67.65,3.9,35.0,61.16
ChampionsLeague,PagineDelloSport,24.76,8.61,66.53,3.94,34.88,61.25
ChampionsLeague,PagineDelloSport,24.67,8.1,67.12,3.96,34.88,61.24
ChampionsLeague,PagineDelloSport,26.31,7.85,65.73,3.92,34.81,61.35
ChampionsLeague,PagineDelloSport,25.83,8.02,66.06,4.0,34.98,61.1
