Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
prattprattpratt,Attori,27.72,4.63,67.7,4.8,39.46,55.76
prattprattpratt,Attori,30.35,4.63,65.02,4.78,37.76,57.49
prattprattpratt,Attori,30.88,4.45,64.67,4.78,36.98,58.29
prattprattpratt,Attori,30.04,5.28,64.66,4.77,37.26,58.02
prattprattpratt,Attori,29.48,5.94,64.56,4.72,37.31,58.02
