Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
KevinHart4real,Attori,19.28,12.99,67.8,7.1,45.48,47.37
KevinHart4real,Attori,18.45,13.47,68.15,7.77,45.85,46.31
KevinHart4real,Attori,17.96,13.42,68.69,7.29,45.56,47.08
KevinHart4real,Attori,19.41,12.69,67.96,6.51,46.07,47.39
KevinHart4real,Attori,20.05,12.6,67.39,5.89,47.95,46.15
