Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
SamuelLJackson,Attori,18.29,10.48,71.24,5.83,37.67,56.5
SamuelLJackson,Attori,18.0,10.49,71.52,5.92,37.61,56.48
SamuelLJackson,Attori,17.8,10.69,71.54,5.89,37.65,56.46
SamuelLJackson,Attori,18.06,10.76,71.21,5.91,37.71,56.39
SamuelLJackson,Attori,18.23,10.94,70.86,5.89,37.67,56.45
