Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
channingtatum,Attori,16.83,4.87,78.31,4.06,37.6,58.31
KevinHart4real,Attori,19.03,13.03,68.0,6.91,46.18,46.86
prattprattpratt,Attori,29.69,4.99,65.32,4.77,37.75,57.52
SamuelLJackson,Attori,18.08,10.67,71.27,5.89,37.66,56.46
