Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
channingtatum,Attori,17.82,1.86,80.3,4.05,33.82,62.1
channingtatum,Attori,17.54,1.73,80.73,4.08,33.8,62.1
channingtatum,Attori,15.9,7.1,77.02,4.06,40.49,55.43
channingtatum,Attori,15.94,7.16,76.92,4.03,40.85,55.08
channingtatum,Attori,16.97,6.48,76.57,4.07,39.05,56.84
