Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
SHAQ,Sportivi,14.24,10.41,75.35,4.73,43.9,51.35
SHAQ,Sportivi,14.33,10.41,75.25,4.75,43.84,51.39
SHAQ,Sportivi,12.88,12.71,74.41,4.63,43.31,52.02
SHAQ,Sportivi,13.14,12.53,74.35,4.63,43.24,52.08
SHAQ,Sportivi,13.42,12.48,74.13,4.67,43.31,51.98
