Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
lewishamilton,Sportivi,26.97,2.23,70.8,4.81,33.83,61.17
lewishamilton,Sportivi,27.06,2.17,70.77,4.92,33.56,61.34
lewishamilton,Sportivi,27.63,2.14,70.24,4.89,33.6,61.32
lewishamilton,Sportivi,27.74,1.96,70.29,5.04,33.36,61.42
lewishamilton,Sportivi,28.29,1.15,70.54,5.04,33.36,61.42
