Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
therock,Influencer,23.05,6.16,70.84,5.04,35.89,59.38
therock,Influencer,20.7,6.59,72.73,5.04,35.93,59.34
therock,Influencer,20.88,7.0,72.14,5.05,35.79,59.46
therock,Influencer,21.09,7.18,71.76,4.91,36.64,58.71
therock,Influencer,21.15,7.31,71.57,4.87,36.85,58.5
