Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
arianagrande,Influencer,29.31,5.03,65.7,4.45,36.3,59.18
nickiminaj,Influencer,31.38,7.67,61.0,5.04,40.67,54.36
therock,Influencer,21.37,6.85,71.81,4.98,36.22,59.08
