ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
37,dantdm,Sat Nov 28 15:00:39 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
38,dantdm,Sat Nov 28 14:58:57 +0000 2020,' announcing team coral carollers! \n\n \n\nwatch them compete in the mc championship on s',0.19,0.0,0.81,0.04,0.32,0.63
39,dantdm,Sat Nov 28 14:57:26 +0000 2020,' hes not family friendly anymore',0.0,0.34,0.66,0.04,0.33,0.63
40,dantdm,Sat Nov 28 14:54:52 +0000 2020,"' yea, he isnt family friendly anymore and he can have a life outside of youtube'",0.0,0.15,0.85,0.04,0.34,0.62
41,dantdm,Sat Nov 28 14:51:52 +0000 2020,' please dont say lit ',0.32,0.0,0.69,0.04,0.33,0.63
42,dantdm,Sat Nov 28 14:50:17 +0000 2020,' good for you g',0.42,0.0,0.58,0.06,0.35,0.6
43,dantdm,Sat Nov 28 14:48:49 +0000 2020,""" everyone meet 'fall guy 8946'\nhe speed hacked in fall guys and still lost hahahaha """,0.0,0.26,0.74,0.04,0.37,0.59
44,dantdm,Sat Nov 28 14:48:36 +0000 2020,"' the lg ultra gear is pretty good. if i were you though, id go for a 4k 144..'",0.26,0.0,0.74,0.04,0.35,0.62
45,dantdm,Sat Nov 28 14:45:15 +0000 2020,"' oh i see. dont worry, we forgive you g. everyone slips up.'",0.16,0.12,0.72,0.05,0.43,0.53
46,dantdm,Sat Nov 28 14:44:36 +0000 2020,'so ive been lurking around and apparently #odd1soutisoverparty and cancelled is a thing. oh my fucking god!!! i have officially lost hope in humanity. made a sarcastic joke mocking rascism and swore once. wtf??? #cancelculture #wtf #omg',0.14,0.36,0.5,0.09,0.77,0.13
47,dantdm,Sat Nov 28 14:43:53 +0000 2020,' im glad i spoke up when i wasnt feeling great. i wont explain the full story as i dont think its necessary. speak up!',0.1,0.17,0.73,0.03,0.4,0.57
48,dantdm,Sat Nov 28 14:42:17 +0000 2020,' awe thats so cool!',0.45,0.0,0.55,0.04,0.37,0.59
49,dantdm,Sat Nov 28 14:41:45 +0000 2020,' i dont think i like where this is going...',0.0,0.19,0.81,0.06,0.33,0.61
50,dantdm,Sat Nov 28 14:40:44 +0000 2020,' wow.. my man... youre old...',0.43,0.0,0.57,0.04,0.47,0.5
51,dantdm,Sat Nov 28 14:40:41 +0000 2020,'the kinda day where im gonna sit down and watch every single dantdm mob showcase video in order and i dont hunk anyone can stop me',0.0,0.08,0.92,0.04,0.31,0.65
52,dantdm,Sat Nov 28 14:39:55 +0000 2020,"' ayy, we still here g. been playing since beta 1.8 '",0.14,0.0,0.86,0.07,0.32,0.61
53,dantdm,Sat Nov 28 14:29:42 +0000 2020,' suck rick stuck stuck stuck stuck at abg dock attic sick sick handyman inconveniences narcissistic dialysis circuit conviction jamies kali occidental yall gimmick knock kalinin obilo one one one indium pullman mau flicks spaming ',0.0,0.38,0.62,0.04,0.38,0.58
54,dantdm,Sat Nov 28 14:25:20 +0000 2020,' how did you go from dye-ing your hair a bunch of colors to going natural with a beard? nevertheless nice birthday selfie.',0.2,0.0,0.8,0.06,0.43,0.51
55,dantdm,Sat Nov 28 14:21:56 +0000 2020,"""hey mcc throwbacks edition\n\n1- dantdm, cpk, captainsparklez, iballisticsquid\n2- vikkstar, rob (woofless), jerome, preston\n3- lachlan, mitch (bajancanadian), petezahhutt, ali a\n\nthat'd kinda relive my childhood thanks""",0.1,0.13,0.77,0.03,0.36,0.61
56,dantdm,Sat Nov 28 14:19:09 +0000 2020,"' , , , , and more! it will be so cool if u stared a mincraft server (i didnt included because he is already in a server)'",0.11,0.0,0.89,0.04,0.35,0.61
57,dantdm,Sat Nov 28 14:13:38 +0000 2020,' dantdm and popular mmos!! and dream kinda roped me in this time around lol',0.41,0.0,0.59,0.03,0.35,0.62
58,dantdm,Sat Nov 28 14:09:07 +0000 2020,' yo same. im british dont bully me.',0.27,0.0,0.73,0.03,0.44,0.52
59,dantdm,Sat Nov 28 14:08:44 +0000 2020,"' \n , ,, and here play child a new indie horror game'",0.14,0.22,0.64,0.07,0.21,0.73
60,dantdm,Sat Nov 28 14:03:44 +0000 2020,"""there's a super mario bros.-esque sprite of dantdm in the game files of super mario maker 2. what could this mean?!? """,0.3,0.0,0.7,0.04,0.29,0.67
61,dantdm,Sat Nov 28 13:52:44 +0000 2020,' hi im new to jsetwt and dttwt and just stantwt in general lol if you like the following can we pls be moots \n\njacksep',0.23,0.0,0.77,0.04,0.35,0.62
62,dantdm,Sat Nov 28 13:52:26 +0000 2020,' so am i fake?',0.0,0.46,0.54,0.04,0.39,0.57
63,dantdm,Sat Nov 28 13:47:15 +0000 2020,""" well this app isn't made for kids. like i said, this app is 13+.""",0.26,0.0,0.74,0.05,0.32,0.63
64,dantdm,Sat Nov 28 13:34:22 +0000 2020,' it happens come on down to wisney land for de-aging powder...side effects may include skin itching to skin cancer and it may have a 99.9percent chance of working',0.06,0.13,0.81,0.04,0.32,0.64
65,dantdm,Sat Nov 28 13:33:52 +0000 2020,' lol',0.74,0.0,0.26,0.02,0.49,0.49
66,dantdm,Sat Nov 28 13:31:47 +0000 2020,'my lil bros obsession w is so cute we just watch his videos all day awe',0.19,0.12,0.69,0.05,0.43,0.52
67,dantdm,Sat Nov 28 13:23:25 +0000 2020,' nah did you watch the last mcc with sapnap and dan. dan did perfectly alright by himself',0.27,0.06,0.66,0.04,0.36,0.6
68,dantdm,Sat Nov 28 13:19:49 +0000 2020,'i watch these streamers:\n\ntubbo\ndream\nsapnap\ngeorge\nwilbur\ntommy\nquackity (even tho he kinda isnt)\nniki\nbbh\nskeppy \n\nhope we like the same people!! \ni also watch some ogs like\n\ndantdm\naphmau',0.13,0.0,0.87,0.07,0.39,0.54
69,dantdm,Sat Nov 28 13:19:11 +0000 2020,' dan my god i am speechless still... ive not stopped thinking about this all day my dream for so many years was for you to notice me and look where i am now! over 70 likes from you and youve spoken to me on stream tysm dan this means a lot to me ',0.15,0.0,0.85,0.04,0.43,0.54
