Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
Casey,Youtuber,22.7,6.66,70.61,4.46,35.12,60.51
dantdm,Youtuber,22.04,8.55,69.39,4.33,37.86,57.83
garyvee,Youtuber,20.45,8.67,70.8,4.62,34.78,60.61
Ninja,Youtuber,19.26,7.11,73.64,4.73,35.58,59.73
TheEllenShow,Youtuber,26.76,7.46,65.81,4.73,38.93,56.36
