Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
CERN,PagineScientifiche,17.52,4.86,77.64,4.84,36.16,58.98
CERN,PagineScientifiche,17.93,4.28,77.79,4.88,36.14,58.91
CERN,PagineScientifiche,10.88,8.12,81.0,5.24,37.05,57.61
CERN,PagineScientifiche,10.81,6.7,82.49,5.46,35.97,58.46
CERN,PagineScientifiche,10.51,7.03,82.46,5.36,36.18,58.36
