Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
realDonaldTrump,Politici,14.1,15.62,70.23,6.03,35.55,58.57
realDonaldTrump,Politici,14.66,13.57,71.83,7.09,35.32,57.7
realDonaldTrump,Politici,13.48,13.8,72.75,6.18,34.3,59.61
realDonaldTrump,Politici,18.7,11.17,70.15,6.11,34.02,59.98
realDonaldTrump,Politici,12.66,17.98,69.39,6.66,39.84,53.39
