ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
34,borisjohnson,Fri Nov 27 09:54:05 +0000 2020,""" i'm confused by this why are we in a lockdown """,0.0,0.17,0.83,0.05,0.35,0.61
35,borisjohnson,Fri Nov 27 09:54:05 +0000 2020,""" well, that's sorted then!\ntime to walk away, boris!\neu threatens to walk out of brexit talks unless uk accepts demands """,0.2,0.1,0.7,0.04,0.34,0.62
36,borisjohnson,Fri Nov 27 09:54:04 +0000 2020,"' needs hauling over hot coals by or boris is, going to lose any credibility he has left. '",0.0,0.13,0.87,0.05,0.36,0.6
37,borisjohnson,Fri Nov 27 09:54:04 +0000 2020,' i am sick and tired of of people who proclaim anti-renewable nonsense as fact and get away with it.\n\ni think ',0.0,0.32,0.68,0.04,0.34,0.61
38,borisjohnson,Fri Nov 27 09:54:03 +0000 2020,"' yes. they do. \nbut we can avoid these deaths. \nits that simple. \n\nwhataboutisms are a nuisance at the minute. \nim not saying it isnt happening but is it 600 a day? no. \nso can you, please stop.'",0.11,0.1,0.79,0.05,0.41,0.54
39,borisjohnson,Fri Nov 27 09:54:03 +0000 2020,"' i think that is the reason they have singled us out for drastic punishment, as an example'",0.0,0.16,0.84,0.05,0.35,0.6
40,borisjohnson,Fri Nov 27 09:54:01 +0000 2020,""" dear it is not s quest for independence but the sovereign scottish people's quest for indepe""",0.1,0.0,0.9,0.05,0.3,0.65
41,borisjohnson,Fri Nov 27 09:54:00 +0000 2020,"' truth: liverpool cases fell sharply by over 50% in 2 weeks since 6th nov, because they used much more accurate new lateral'",0.1,0.0,0.91,0.04,0.33,0.63
42,borisjohnson,Fri Nov 27 09:54:00 +0000 2020,""" what's happened to leaving the eu on 15th october if there was no deal. .co.uk""",0.0,0.13,0.87,0.03,0.34,0.63
43,borisjohnson,Fri Nov 27 09:53:57 +0000 2020,"' truth: liverpool cases fell sharply by over 50% in 2 weeks since 6th nov, because they used much more accurate new lateral'",0.1,0.0,0.91,0.04,0.33,0.63
44,borisjohnson,Fri Nov 27 09:53:56 +0000 2020,' thanks to the government there wont be any #christmas for many #pub families. we need an urgent package of support fo',0.28,0.0,0.72,0.05,0.28,0.67
45,borisjohnson,Fri Nov 27 09:53:54 +0000 2020,' a poll of uk doctors found 4 in 10 would not have a covid-19 vaccine as soon as one is approved by the mhra. does that make th',0.09,0.0,0.91,0.03,0.45,0.52
46,borisjohnson,Fri Nov 27 09:53:50 +0000 2020,'never before has a pm had a team of videographers\ndocument their fall on a daily basis. \nmesmirising in its own tragic way. ',0.0,0.12,0.88,0.04,0.38,0.58
47,borisjohnson,Fri Nov 27 09:53:46 +0000 2020,'ahhhh gone are the days when the nhs being overwhelmed ',0.11,0.0,0.89,0.04,0.33,0.63
48,borisjohnson,Fri Nov 27 09:53:37 +0000 2020,"' truth: liverpool cases fell sharply by over 50% in 2 weeks since 6th nov, because they used much more accurate new lateral'",0.1,0.0,0.91,0.04,0.33,0.63
49,borisjohnson,Fri Nov 27 09:53:35 +0000 2020,' hope u are happy look what u did to gary ',0.4,0.0,0.6,0.12,0.2,0.68
50,borisjohnson,Fri Nov 27 09:53:33 +0000 2020,"' impoant: major #brexit groups call for deal or walk, please prime minister.\n\n strongly urged to walk awa'",0.22,0.0,0.78,0.04,0.31,0.65
51,borisjohnson,Fri Nov 27 09:53:32 +0000 2020,' more evidence you have no control!',0.0,0.29,0.71,0.05,0.38,0.57
52,borisjohnson,Fri Nov 27 09:53:30 +0000 2020,""" boris you never had control of this virus and all the lockdowns and crappy testing at great expense, the buying of expensive vaccine that havn't even been tested properly.\njust dont fuck up brexit as well!""",0.21,0.08,0.71,0.09,0.75,0.16
53,borisjohnson,Fri Nov 27 09:53:30 +0000 2020,""" mark, you're a born worrier, i'm not.""",0.0,0.29,0.71,0.08,0.35,0.58
54,borisjohnson,Fri Nov 27 09:53:29 +0000 2020,"' hancock should be sacked now, after a damming report from portugal on pcr test, its completely unreliable, this has inflated our cases. all mps must demand its replaced with lateral flow test. . '",0.0,0.04,0.96,0.04,0.38,0.59
55,borisjohnson,Fri Nov 27 09:53:28 +0000 2020,' why do you lot keep backing johnson',0.14,0.0,0.86,0.04,0.38,0.58
