ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
30,CBCNews,Sat Nov 28 15:57:08 +0000 2020,' terrorists have penetrated canada. canada is a gone case now just like the us. france is the only country taking terrorists by their horn ',0.07,0.24,0.68,0.06,0.34,0.59
31,CBCNews,Sat Nov 28 15:57:02 +0000 2020,"' this bus driver is good, thankyou for your service. '",0.23,0.0,0.78,0.06,0.3,0.64
32,CBCNews,Sat Nov 28 15:56:27 +0000 2020,"""richard madeley: boris treats us like 'dim 8-year-olds' over coronavirus via """,0.18,0.0,0.81,0.07,0.2,0.73
33,CBCNews,Sat Nov 28 15:56:22 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
34,CBCNews,Sat Nov 28 15:55:58 +0000 2020,"' this bus driver is good, thankyou for your service. '",0.23,0.0,0.78,0.06,0.3,0.64
35,CBCNews,Sat Nov 28 15:55:29 +0000 2020,'#stopwarontigray and prevent #tigraygenocide \n\n \n ',0.15,0.0,0.84,0.04,0.28,0.68
36,CBCNews,Sat Nov 28 15:55:20 +0000 2020,""" burnt out but feeling a duty to respond: front-line workers sound the alarm on burnout as they battle the pandemic's se""",0.06,0.24,0.7,0.04,0.35,0.62
37,CBCNews,Sat Nov 28 15:55:16 +0000 2020,' #stopwarontigray and prevent #tigraygenocide \n\n \n ',0.14,0.0,0.86,0.04,0.28,0.68
38,CBCNews,Sat Nov 28 15:54:39 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
39,CBCNews,Sat Nov 28 15:54:38 +0000 2020,"'breaking news - a caravan hundreds of thousands of farmers from panjab are marching to capital delhi protesting farming bills. as indian media ignores, - would you please cover? '",0.07,0.14,0.79,0.06,0.33,0.61
40,CBCNews,Sat Nov 28 15:54:07 +0000 2020,' the mullahs regime in #iran must be accountable for its terrorism actions in the world #noimpunity4mullahs #shutdownirante',0.0,0.21,0.79,0.03,0.29,0.67
41,CBCNews,Sat Nov 28 15:53:21 +0000 2020,"' opp knowingly shot into a car with a baby in it, baby now dead there you got i fixed the headline for you.'",0.0,0.16,0.84,0.04,0.37,0.59
42,CBCNews,Sat Nov 28 15:53:16 +0000 2020,' peaceful protesting farmers from panjab met by sheer brutality of &amp; #haryanapolice ! \n\ndeath of democracy ! ',0.12,0.28,0.6,0.04,0.34,0.61
43,CBCNews,Sat Nov 28 15:53:16 +0000 2020,' terrible idea. we should be following the science on this. permanent standard time is better for our health. let high',0.12,0.12,0.76,0.03,0.39,0.58
44,CBCNews,Sat Nov 28 15:52:42 +0000 2020,' #stopwarontigray and prevent #tigraygenocide \n\n \n ',0.14,0.0,0.86,0.04,0.28,0.68
45,CBCNews,Sat Nov 28 15:52:08 +0000 2020,' peaceful protesting farmers from panjab met by sheer brutality of &amp; #haryanapolice ! \n\ndeath of democracy ! ',0.12,0.28,0.6,0.04,0.34,0.61
46,CBCNews,Sat Nov 28 15:51:19 +0000 2020,' peaceful protesting farmers from panjab met by sheer brutality of &amp; #haryanapolice ! \n\ndeath of democracy ! ',0.12,0.28,0.6,0.04,0.34,0.61
47,CBCNews,Sat Nov 28 15:51:14 +0000 2020,' only in canada will you be arrested &amp; charged a $50k bail fee for opening a bbq restaurant to feed your family while a c',0.0,0.17,0.83,0.06,0.32,0.62
48,CBCNews,Sat Nov 28 15:50:43 +0000 2020,' #stopwarontigray and prevent #tigraygenocide \n\n \n ',0.14,0.0,0.86,0.04,0.28,0.68
49,CBCNews,Sat Nov 28 15:50:25 +0000 2020,' please help me reunite with my family who',0.42,0.0,0.58,0.02,0.52,0.47
