Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
thetimes,Giornalismo,8.1,11.67,80.21,4.59,41.31,53.89
thetimes,Giornalismo,7.92,11.68,80.42,4.62,42.39,52.69
thetimes,Giornalismo,8.14,11.68,80.21,4.61,42.24,52.86
thetimes,Giornalismo,8.67,11.37,79.99,4.58,42.1,53.04
thetimes,Giornalismo,8.5,11.7,79.83,4.61,42.21,52.89
