Username,Category,Positive Rate,Negative Rate,Neutral Rate,Hate Rate,Offensive rate,Neither rate
CBCNews,Giornalismo,10.89,20.21,68.89,4.59,36.74,58.59
CBCNews,Giornalismo,8.29,17.04,74.67,4.84,33.49,61.63
CBCNews,Giornalismo,12.54,18.0,69.43,4.8,36.99,58.19
CBCNews,Giornalismo,13.32,13.04,73.64,4.96,36.12,58.89
CBCNews,Giornalismo,11.7,12.2,76.12,4.96,35.2,59.83
